4.0600 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
38.1013 	EXP 	fixation: autoDraw = True
39.1019 	EXP 	fixation: autoDraw = False
39.1019 	EXP 	grating: autoDraw = True
39.1019 	EXP 	grating: tex = 'sin'
39.4014 	EXP 	grating: autoDraw = False
39.4542 	EXP 	window1: recordFrameIntervals = False
39.4557 	DATA 	Keypress: right
39.4682 	EXP 	fixation: autoDraw = False
39.4682 	EXP 	grating: autoDraw = False
39.4684 	EXP 	window1: recordFrameIntervals = False
40.4677 	EXP 	fixation: autoDraw = True
41.4679 	EXP 	fixation: autoDraw = False
41.4679 	EXP 	grating: autoDraw = True
41.4679 	EXP 	grating: tex = 'sin'
41.7680 	EXP 	grating: autoDraw = False
41.8214 	DATA 	Keypress: left
41.8370 	EXP 	window1: recordFrameIntervals = False
41.8513 	EXP 	fixation: autoDraw = False
41.8513 	EXP 	grating: autoDraw = False
41.8516 	EXP 	window1: recordFrameIntervals = False
42.8509 	EXP 	fixation: autoDraw = True
43.8510 	EXP 	fixation: autoDraw = False
43.8510 	EXP 	grating: autoDraw = True
43.8510 	EXP 	grating: tex = 'sin'
44.1509 	EXP 	grating: autoDraw = False
44.2702 	EXP 	window1: recordFrameIntervals = False
44.2715 	DATA 	Keypress: left
44.2843 	EXP 	fixation: autoDraw = False
44.2843 	EXP 	grating: autoDraw = False
44.2845 	EXP 	window1: recordFrameIntervals = False
45.2840 	EXP 	fixation: autoDraw = True
46.2843 	EXP 	fixation: autoDraw = False
46.2843 	EXP 	grating: autoDraw = True
46.2843 	EXP 	grating: tex = 'sin'
46.5841 	EXP 	grating: autoDraw = False
46.6039 	EXP 	window1: recordFrameIntervals = False
46.6053 	DATA 	Keypress: right
46.6175 	EXP 	fixation: autoDraw = False
46.6175 	EXP 	grating: autoDraw = False
46.6177 	EXP 	window1: recordFrameIntervals = False
47.6175 	EXP 	fixation: autoDraw = True
48.6173 	EXP 	fixation: autoDraw = False
48.6173 	EXP 	grating: autoDraw = True
48.6173 	EXP 	grating: tex = 'sin'
48.9177 	EXP 	grating: autoDraw = False
48.9528 	EXP 	window1: recordFrameIntervals = False
48.9541 	DATA 	Keypress: right
48.9673 	EXP 	fixation: autoDraw = False
48.9673 	EXP 	grating: autoDraw = False
48.9675 	EXP 	window1: recordFrameIntervals = False
49.9671 	EXP 	fixation: autoDraw = True
50.9672 	EXP 	fixation: autoDraw = False
50.9672 	EXP 	grating: autoDraw = True
50.9672 	EXP 	grating: tex = 'sin'
51.2672 	EXP 	grating: autoDraw = False
51.2860 	EXP 	window1: recordFrameIntervals = False
51.2873 	DATA 	Keypress: right
51.3005 	EXP 	fixation: autoDraw = False
51.3005 	EXP 	grating: autoDraw = False
51.3007 	EXP 	window1: recordFrameIntervals = False
52.3002 	EXP 	fixation: autoDraw = True
53.3004 	EXP 	fixation: autoDraw = False
53.3004 	EXP 	grating: autoDraw = True
53.3004 	EXP 	grating: tex = 'sin'
53.6004 	EXP 	grating: autoDraw = False
53.6025 	EXP 	window1: recordFrameIntervals = False
53.6038 	DATA 	Keypress: right
53.6170 	EXP 	fixation: autoDraw = False
53.6170 	EXP 	grating: autoDraw = False
53.6172 	EXP 	window1: recordFrameIntervals = False
54.6168 	EXP 	fixation: autoDraw = True
55.6170 	EXP 	fixation: autoDraw = False
55.6170 	EXP 	grating: autoDraw = True
55.6170 	EXP 	grating: tex = 'sin'
55.9028 	EXP 	window1: recordFrameIntervals = False
55.9043 	DATA 	Keypress: right
55.9170 	EXP 	grating: autoDraw = False
55.9170 	EXP 	fixation: autoDraw = False
55.9170 	EXP 	grating: autoDraw = False
55.9173 	EXP 	window1: recordFrameIntervals = False
56.9167 	EXP 	fixation: autoDraw = True
57.9167 	EXP 	fixation: autoDraw = False
57.9167 	EXP 	grating: autoDraw = True
57.9167 	EXP 	grating: tex = 'sin'
58.2331 	EXP 	grating: autoDraw = False
58.2690 	EXP 	window1: recordFrameIntervals = False
58.2703 	DATA 	Keypress: left
58.2833 	EXP 	fixation: autoDraw = False
58.2833 	EXP 	grating: autoDraw = False
58.2836 	EXP 	window1: recordFrameIntervals = False
59.2831 	EXP 	fixation: autoDraw = True
60.2833 	EXP 	fixation: autoDraw = False
60.2833 	EXP 	grating: autoDraw = True
60.2833 	EXP 	grating: tex = 'sin'
60.5544 	EXP 	window1: recordFrameIntervals = False
60.5564 	DATA 	Keypress: right
60.5665 	EXP 	fixation: autoDraw = False
60.5665 	EXP 	grating: autoDraw = False
60.5669 	EXP 	window1: recordFrameIntervals = False
61.5663 	EXP 	fixation: autoDraw = True
62.5665 	EXP 	fixation: autoDraw = False
62.5665 	EXP 	grating: autoDraw = True
62.5665 	EXP 	grating: tex = 'sin'
62.8669 	EXP 	grating: autoDraw = False
62.8696 	EXP 	window1: recordFrameIntervals = False
62.8710 	DATA 	Keypress: right
62.8830 	EXP 	fixation: autoDraw = False
62.8830 	EXP 	grating: autoDraw = False
62.8834 	EXP 	window1: recordFrameIntervals = False
63.8828 	EXP 	fixation: autoDraw = True
64.8832 	EXP 	fixation: autoDraw = False
64.8832 	EXP 	grating: autoDraw = True
64.8832 	EXP 	grating: tex = 'sin'
